414455764	1	t	92209	2009-06-02 03:11:23	1400203		0101000020E6100000824E52AA8EDA53C06439AEEBBCE24540
560652328	1	t	1679	2009-11-11 04:51:10	3087416		0101000020E610000066C39ACAA2DA53C02783482B63E24540
770581443	1	t	1679	2010-06-12 20:11:37	4973976		0101000020E61000004421B88086DA53C06A25BE24DFE14540
770581528	1	t	1679	2010-06-12 20:11:39	4973976		0101000020E610000097EE642687DA53C0BC59283EE3E14540
770581923	1	t	1679	2010-06-12 20:11:44	4973976		0101000020E61000009795815E93DA53C04065A1421AE24540
770581983	1	t	1679	2010-06-12 20:11:45	4973976		0101000020E6100000803F468A92DA53C049D85CDA15E24540
770595534	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E610000026CBA4E16FDA53C056A8C9E770E14540
770595552	1	t	1679	2010-06-12 20:19:46	4974037	"highway"=>"stop"	0101000020E6100000F10E95EB92DA53C0F45D00D017E24540
770595553	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E6100000B212F3ACA4DA53C0C913F70E6DE24540
770595553	2	t	1679	2011-10-02 23:39:45	9456233		0101000020E6100000CA6BCABAA4DA53C07B2EF8D96DE24540
770595554	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E6100000927648D686DA53C0C9B1F50CE1E14540
770595554	2	t	1679	2010-06-12 20:23:54	4974075	"highway"=>"stop"	0101000020E6100000927648D686DA53C0C9B1F50CE1E14540
770595556	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E61000005F59B3DFA4DA53C0CDDC32969FE24540
770595557	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E6100000458C32769DDA53C0E7D5EF7849E24540
770595561	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E6100000C6C8EDF288DA53C03E93A23AC2E24540
770595571	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E610000027C0B0FC79DA53C021CB27D0CCE24540
770595572	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E610000013CD4DE57EDA53C04B3CA06CCAE24540
770595573	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E610000087DD1C539CDA53C0BBB14577B5E24540
770595575	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E6100000D637D5FF5EDA53C0D0DECFDF3AE14540
770595575	2	t	1679	2011-10-03 03:37:34	9456658		0101000020E61000006A0EB5125FDA53C0E2D3F7753BE14540
770595580	1	t	1679	2010-06-12 20:19:46	4974037		0101000020E6100000BD3AC7806CDA53C0A71B727D69E14540
770595588	1	t	1679	2010-06-12 20:19:47	4974037		0101000020E610000005B28D2EA5DA53C0D5E70F7283E24540
770595592	1	t	1679	2010-06-12 20:19:47	4974037		0101000020E6100000AE4786C1A1DA53C00720FF16AEE24540
770595592	2	t	1679	2012-12-30 00:09:48	14458340		0101000020E610000010E7E104A6DA53C093CE763BB1E24540
770595597	1	t	1679	2010-06-12 20:19:47	4974037		0101000020E6100000D18D55EF95DA53C0699FD85427E24540
770595602	1	t	1679	2010-06-12 20:19:47	4974037		0101000020E6100000843B061AA2DA53C0353D72B55FE24540
770595606	1	t	1679	2010-06-12 20:19:47	4974037		0101000020E61000007E32101574DA53C0B710E4A084E14540
