49483224	4543	2009-04-01 04:16:27	W	31986107	2	MODIFY	f	f	f	\N	0102000020E6100000070000002E95B7239C463540F77B629D2A99494018E87F5E5D4635401B08139040994940F4B7F3B347463540CECF68064C9949402260634D1B46354050F97C395899494020D7E143E44335405D363AE7A799494004610212A84335406F2B627DA89949408A05BEA25B3F3540EE81B1193B9A4940	0102000020E6100000070000002E95B7239C463540F77B629D2A99494018E87F5E5D4635401B08139040994940F4B7F3B347463540CECF68064C9949402260634D1B46354050F97C395899494020D7E143E44335405D363AE7A799494004610212A84335406F2B627DA89949408A05BEA25B3F3540EE81B1193B9A4940	"highway"=>"residential", "created_by"=>"Merkaartor 0.12"	"highway"=>"residential", "created_by"=>"Merkaartor 0.12"	{358471329,358471330,358471331,358471332,358471333,358471334,358471335}	{358471329,358471330,358471331,358471332,358471333,358471334,358471335}	\N	\N	\N	\N
49483223	4543	2009-04-01 04:16:24	W	31900070	2	MODIFY	f	t	f	\N	0102000020E6100000020000002BCD9CE4FD3A3540D6A1E41FC79449400FC061FDFA3A35402726B90DB4944940	0102000020E6100000020000002BCD9CE4FD3A3540D6A1E41FC79449400FC061FDFA3A35402726B90DB4944940	"name"=>"Pułkownika Rębajło", "oneway"=>"no", "highway"=>"residential", "created_by"=>"Merkaartor 0.12"	"name"=>"Płk. Rębajło", "oneway"=>"no", "highway"=>"residential", "created_by"=>"Merkaartor 0.12"	{357291506,357291400}	{357291506,357291400}	\N	\N	\N	\N
49483222	4543	2009-04-01 04:16:22	W	31985977	2	MODIFY	f	t	f	\N	0102000020E610000012000000A0E579707740354006BCCCB051974940AF635C7171403540281829EF3E974940F1643733FA3F354002BAD4AD439749400D9A4CCBFE3F35401CD8857A5597494051A1BAB9F83F354087FE092E56974940D574E21703403540C384D1AC6C97494056B71F950740354034CAE9A16C9749408B2947B714403540B49CDF8B8A9749409034B8AD2D40354078989B148B9749402F85AC133C4035400667F0F78B9749400858AB764D4035409A34FC5D8E9749401F21B9EB5B4035405DA04907909749409DC717A3644035403FF72F5A91974940DDBEA2B668403540DABBF5509197494022BB1CC06C403540994231C3909749404BAA5BE26D4035408DF6D3DA8F974940230C4D2377403540EDFDFCAD53974940A0E579707740354006BCCCB051974940	0102000020E610000012000000A0E579707740354006BCCCB051974940AF635C7171403540281829EF3E974940F1643733FA3F354002BAD4AD439749400D9A4CCBFE3F35401CD8857A5597494051A1BAB9F83F354087FE092E56974940D574E21703403540C384D1AC6C97494056B71F950740354034CAE9A16C9749408B2947B714403540B49CDF8B8A9749409034B8AD2D40354078989B148B9749402F85AC133C4035400667F0F78B9749400858AB764D4035409A34FC5D8E9749401F21B9EB5B4035405DA04907909749409DC717A3644035403FF72F5A91974940DDBEA2B668403540DABBF5509197494022BB1CC06C403540994231C3909749404BAA5BE26D4035408DF6D3DA8F974940230C4D2377403540EDFDFCAD53974940A0E579707740354006BCCCB051974940	"name"=>"Oczyszczalnia ścieków", "landuse"=>"industrial", "man_made"=>"wastewater_plant", "created_by"=>"Merkaartor 0.12"	"name"=>"Oczyszczalnia sciekow", "landuse"=>"industrial", "created_by"=>"Merkaartor 0.12"	{358455519,358470266,358470267,358470268,358470269,358470270,358470271,358470272,358470274,358470275,358470276,358470277,358470278,358470279,358470280,358470281,358470282,358455519}	{358455519,358470266,358470267,358470268,358470269,358470270,358470271,358470272,358470274,358470275,358470276,358470277,358470278,358470279,358470280,358470281,358470282,358455519}	\N	\N	\N	\N
49483221	4543	2009-04-01 04:14:20	N	303024212	2	MODIFY	f	t	\N	\N	0101000020E610000029887082253F354059BF3EDFBBA54940	0101000020E610000029887082253F354059BF3EDFBBA54940	"name"=>"Satal", "amenity"=>"fuel"	"amenity"=>"fuel"	\N	\N	\N	\N	\N	\N
49483220	4543	2009-04-01 04:13:41	N	359832338	2	MODIFY	f	t	\N	\N	0101000020E6100000FA449E245D9335409817601F9DEA4940	0101000020E6100000FA449E245D9335409817601F9DEA4940	"source"=>"http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/RADOM.zielone.txt)"	"source"=>"http://ump.waw.pl/ retrieved 19:14:13 03/12/09 (UMP-Siedlce/src/SIEDLCE.zielone.txt)"	\N	\N	\N	\N	\N	\N
49483219	4543	2009-04-01 04:13:38	N	359829041	2	MODIFY	f	t	\N	\N	0101000020E6100000F819170E84AC35409817601F9DEA4940	0101000020E6100000F819170E84AC35409817601F9DEA4940	"source"=>"http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/RADOM.zielone.txt)"	"source"=>"http://ump.waw.pl/ retrieved 19:14:13 03/12/09 (UMP-Siedlce/src/SIEDLCE.zielone.txt)"	\N	\N	\N	\N	\N	\N
49483218	4543	2009-04-01 04:13:38	N	359829039	2	MODIFY	t	t	\N	\N	0101000020E61000002E837BAF6BAD35409817601F9DEA4940	0101000020E6100000CC6262F371AD35409817601F9DEA4940	"source"=>"http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/RADOM.zielone.txt)"	"source"=>"http://ump.waw.pl/ retrieved 19:14:13 03/12/09 (UMP-Siedlce/src/SIEDLCE.zielone.txt)"	\N	\N	\N	\N	\N	\N
49483217	4543	2009-04-01 04:13:37	N	359829069	2	MODIFY	f	t	\N	\N	0101000020E610000051DF32A7CBB235409817601F9DEA4940	0101000020E610000051DF32A7CBB235409817601F9DEA4940	"source"=>"http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/RADOM.zielone.txt)"	"source"=>"http://ump.waw.pl/ retrieved 19:14:13 03/12/09 (UMP-Siedlce/src/SIEDLCE.zielone.txt)"	\N	\N	\N	\N	\N	\N
49483216	4543	2009-04-01 04:13:04	W	32718125	1	CREATE	t	t	t	\N	0102000020E610000002000000F12E17F19D303540DC85E63A8DE4494081CF0F23842F3540F1BA7EC16EE44940	\N	"name"=>"Piotra Wysockiego", "oneway"=>"1", "source"=>"http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/WARKA.ulice.txt)", "highway"=>"residential"	\N	{368133717,368133625}	\N	\N	\N	\N	\N
49483215	4543	2009-04-01 04:12:57	W	32718109	1	CREATE	t	t	t	\N	0102000020E610000006000000AA8251499DD83440EDBB22F8DFE24940B958518369D83440EDBB22F8DFE24940560E2DB29DD73440E65C8AABCAE2494073D712F241D734401FA2D11DC4E249402D26361FD7D63440D8F50B76C3E249402FFF21FDF6D534409F93DE37BEE24940	\N	"source"=>"http://ump.waw.pl/ retrieved 14:34:48 03/30/09 (UMP-Radom/src/inne.drogi.txt)", "highway"=>"tertiary"	\N	{368126846,368132661,368132659,368130360,368130496,368132762}	\N	\N	\N	\N	\N
